iter	Logloss
0	0.6853435502
1	0.6777539315
2	0.6707237345
3	0.6647050224
4	0.6587662646
5	0.6536719104
6	0.6489048131
7	0.6449018954
8	0.6409527487
9	0.6375381181
10	0.6342958114
11	0.6316474602
12	0.6287310949
13	0.626387014
14	0.6240646771
15	0.6221030472
16	0.6200922985
17	0.6182378279
18	0.6168747358
19	0.6151861874
20	0.613669324
21	0.6125636125
22	0.6109608568
23	0.6096165006
24	0.6083792335
25	0.6073732285
26	0.6062690049
27	0.6052964042
28	0.6042511673
29	0.6032472485
30	0.6024131873
31	0.6016759538
32	0.6010319927
33	0.6004078187
34	0.5999196855
35	0.5991639371
36	0.5984519813
37	0.5978272386
38	0.5972751025
39	0.5967446943
40	0.5963263052
41	0.5956510988
42	0.5952039737
43	0.5947581048
44	0.5943946403
45	0.5940531975
46	0.5937157492
47	0.5933895382
48	0.5930824324
49	0.5927512483
50	0.5924810456
51	0.5919474432
52	0.5915315312
53	0.5912334335
54	0.5908734893
55	0.5905768147
56	0.5902604528
57	0.5899957109
58	0.5897002763
59	0.5893402458
60	0.5889850671
61	0.588805789
62	0.5885703383
63	0.5883204671
64	0.5879488032
65	0.5877221827
66	0.5874883736
67	0.5872576857
68	0.5869856069
69	0.5866463366
70	0.5863896351
71	0.5861624783
72	0.5859448309
73	0.5856198436
74	0.5853851045
75	0.5851469449
76	0.584986233
77	0.5847556879
78	0.5844359567
79	0.5842532178
80	0.5840800503
81	0.5839000418
82	0.5837268581
83	0.5835460867
84	0.5833450054
85	0.5831182124
86	0.5828177131
87	0.5825996479
88	0.5824773781
89	0.5822617603
90	0.5820504013
91	0.5818910937
92	0.5817363898
93	0.5815404567
94	0.5813302757
95	0.5811318601
96	0.5809981347
97	0.5807530937
98	0.5805582954
99	0.5803666373
100	0.5801590843
101	0.5799381996
102	0.5797722639
103	0.5795868942
104	0.5793979666
105	0.5792289446
106	0.5790778041
107	0.5789115261
108	0.5787692158
109	0.5785926197
110	0.5783439506
111	0.5781131577
112	0.577922637
113	0.5777119438
114	0.5775152263
115	0.577334517
116	0.5771748347
117	0.5770199449
118	0.5768060845
119	0.5765629842
120	0.5763451994
121	0.5761766761
122	0.5759797511
123	0.5758508343
124	0.5756912356
125	0.5755585506
126	0.5754041271
127	0.575289329
128	0.5751603772
129	0.5749891827
130	0.5747892928
131	0.5746638127
132	0.5745596912
133	0.5744230439
134	0.5742396338
135	0.5740645687
136	0.5739595954
137	0.5737734198
138	0.5736484141
139	0.5735337049
140	0.5733300791
141	0.5731696852
142	0.5729769166
143	0.5728437141
144	0.5726001502
145	0.5723840527
146	0.5721871277
147	0.5720413457
148	0.5718733749
149	0.5716646305
150	0.5714989266
151	0.5713102011
152	0.5710801925
153	0.5709812381
154	0.5707531756
155	0.5706356901
156	0.5704988596
157	0.5703375492
158	0.5701210878
159	0.5700008989
160	0.5698905293
161	0.5697378363
162	0.5695731108
163	0.5694480997
164	0.5692491963
165	0.5690347322
166	0.5688953249
167	0.5687029605
168	0.56844003
169	0.5682527978
170	0.5680455466
171	0.5678986972
172	0.5677518882
173	0.567550195
174	0.5674195128
175	0.5672158331
176	0.5670092504
177	0.5668289238
178	0.5666579693
179	0.5665298827
180	0.566405373
181	0.566229448
182	0.5660474422
183	0.5659060187
184	0.5656770856
185	0.5654734813
186	0.5652873111
187	0.5650734211
188	0.5648701645
189	0.5646899485
190	0.5645391746
191	0.5643320797
192	0.5641213111
193	0.5639522514
194	0.5636807305
195	0.563474447
196	0.5633778861
197	0.5631761768
198	0.5630362358
199	0.5629252624
200	0.5627161541
201	0.562525717
202	0.5623190023
203	0.5622013228
204	0.5620551256
205	0.5619160472
206	0.5617513567
207	0.5615828685
208	0.5613796389
209	0.5611737408
210	0.5610518646
211	0.5608987914
212	0.5607071764
213	0.560516866
214	0.5602969814
215	0.5601451967
216	0.5599219024
217	0.5597513494
218	0.55956895
219	0.5594494538
220	0.5593037877
221	0.5591690596
222	0.5590531025
223	0.5589146305
224	0.5587580856
225	0.5584902521
226	0.5583497343
227	0.5581515128
228	0.557992286
229	0.5578663261
230	0.5576045627
231	0.5574851069
232	0.5573025809
233	0.5571468932
234	0.5569794508
235	0.5567391753
236	0.5565935334
237	0.5564231503
238	0.55618374
239	0.5560601009
240	0.5558244696
241	0.5557162753
242	0.5555265444
243	0.5553736087
244	0.5551901231
245	0.5550275244
246	0.5547942624
247	0.5546804238
248	0.5544365742
249	0.5542856412
250	0.5541163012
251	0.5538515162
252	0.5536929606
253	0.5536192516
254	0.5534364263
255	0.5531398219
256	0.5529060963
257	0.5526642844
258	0.5524326396
