iter	Passed	Remaining
0	6	1844
1	11	1732
2	16	1669
3	22	1669
4	28	1655
5	32	1607
6	37	1575
7	42	1568
8	49	1599
9	55	1622
10	62	1649
11	68	1650
12	74	1641
13	80	1648
14	86	1645
15	92	1645
16	99	1648
17	105	1648
18	111	1644
19	116	1634
20	122	1623
21	128	1620
22	133	1613
23	139	1608
24	147	1622
25	153	1618
26	159	1615
27	165	1604
28	170	1596
29	176	1585
30	180	1568
31	185	1551
32	189	1532
33	194	1521
34	199	1507
35	203	1489
36	207	1477
37	214	1476
38	219	1466
39	225	1465
40	230	1457
41	237	1460
42	245	1464
43	251	1463
44	257	1459
45	267	1479
46	273	1474
47	280	1471
48	288	1477
49	294	1472
50	301	1471
51	308	1469
52	315	1470
53	325	1480
54	337	1502
55	350	1527
56	362	1544
57	371	1551
58	380	1552
59	386	1545
60	393	1541
61	400	1536
62	406	1529
63	415	1531
64	422	1526
65	428	1520
66	438	1523
67	445	1521
68	452	1516
69	459	1509
70	465	1502
71	472	1496
72	478	1488
73	484	1480
74	490	1472
75	497	1466
76	510	1478
77	520	1481
78	530	1482
79	535	1473
80	543	1469
81	549	1461
82	557	1458
83	565	1453
84	571	1446
85	577	1437
86	584	1429
87	590	1422
88	596	1415
89	604	1409
90	609	1399
91	615	1391
92	621	1384
93	629	1379
94	636	1373
95	644	1368
96	650	1360
97	656	1353
98	662	1346
99	669	1338
100	674	1328
101	680	1320
102	684	1308
103	688	1298
104	693	1288
105	698	1279
106	705	1273
107	713	1268
108	720	1262
109	726	1254
110	734	1250
111	740	1242
112	747	1237
113	755	1232
114	767	1234
115	777	1232
116	786	1230
117	797	1229
118	808	1229
119	815	1222
120	822	1216
121	828	1208
122	835	1202
123	842	1196
124	852	1192
125	859	1187
126	867	1181
127	873	1174
128	884	1173
129	890	1164
130	896	1155
131	900	1146
132	908	1140
133	914	1133
134	920	1125
135	925	1115
136	931	1107
137	939	1102
138	946	1095
139	952	1088
140	959	1082
141	967	1075
142	974	1070
143	981	1063
144	989	1058
145	997	1051
146	1005	1046
147	1012	1039
148	1019	1033
149	1027	1027
150	1034	1020
151	1042	1015
152	1050	1008
153	1059	1004
154	1066	997
155	1074	991
156	1082	985
157	1088	978
158	1094	970
159	1100	962
160	1104	953
161	1109	945
162	1114	936
163	1118	927
164	1123	918
165	1127	910
166	1132	902
167	1138	894
168	1146	888
169	1151	880
170	1156	872
171	1161	864
172	1165	855
173	1171	848
174	1176	840
175	1179	830
176	1182	821
177	1185	812
178	1190	804
179	1194	796
180	1199	788
181	1203	780
182	1208	772
183	1212	764
184	1216	756
185	1220	747
186	1224	739
187	1227	731
188	1233	724
189	1237	716
190	1242	709
191	1248	702
192	1253	695
193	1258	687
194	1264	680
195	1269	673
196	1274	666
197	1278	658
198	1284	651
199	1289	644
200	1294	637
201	1298	629
202	1303	622
203	1307	615
204	1311	607
205	1314	599
206	1319	592
207	1321	584
208	1324	576
209	1327	569
210	1330	561
211	1334	553
212	1337	546
213	1339	538
214	1343	531
215	1346	523
216	1349	516
217	1355	509
218	1358	502
219	1362	495
220	1365	488
221	1368	480
222	1371	473
223	1374	466
224	1377	459
225	1381	452
226	1384	445
227	1387	438
228	1390	431
229	1393	424
230	1396	417
231	1399	410
232	1402	403
233	1406	396
234	1409	389
235	1413	383
236	1416	376
237	1420	369
238	1423	363
239	1427	356
240	1431	350
241	1435	344
242	1439	337
243	1444	331
244	1448	325
245	1453	319
246	1458	312
247	1462	306
248	1468	300
249	1475	295
250	1482	289
251	1487	283
252	1494	277
253	1499	271
254	1504	265
255	1512	259
256	1522	254
257	1532	249
258	1540	243
259	1549	238
260	1558	232
261	1567	227
262	1575	221
263	1585	216
264	1592	210
265	1601	204
266	1611	199
267	1618	193
268	1626	187
269	1632	181
270	1640	175
271	1647	169
272	1653	163
273	1661	157
274	1668	151
275	1674	145
276	1679	139
277	1685	133
278	1691	127
279	1695	121
280	1700	114
281	1704	108
282	1710	102
283	1715	96
284	1721	90
285	1727	84
286	1732	78
287	1738	72
288	1746	66
289	1753	60
290	1760	54
291	1766	48
292	1772	42
293	1779	36
294	1784	30
295	1790	24
296	1797	18
297	1802	12
298	1809	6
299	1816	0
