po_id,tracking_number,carrier,delivery_date,planned_lead_days,actual_lead_days,is_late,delay_days,has_defect,inspection_status,status
PO50000,TRK-77431124,DB Schenker Logistics,2024-03-26,17,15,False,0,False,Passed Inspection,Delivered
PO50001,TRK-85394210,Blue Dart Cargo,2023-06-09,15,12,False,0,False,Passed Inspection,Delivered
PO50002,TRK-94849867,Maersk Line,2024-03-11,28,28,False,0,False,Passed Inspection,Delivered
PO50003,TRK-96598807,FedEx Supply Chain,2024-05-02,3,5,True,2,False,Passed Inspection,Delivered
PO50004,TRK-57908079,FedEx Supply Chain,2023-01-22,22,19,False,0,False,Passed Inspection,Delivered
PO50005,TRK-42305167,Kuehne+Nagel,2025-09-24,20,20,False,0,False,Passed Inspection,Delivered
PO50006,TRK-79729612,DHL Express,2024-08-12,11,11,False,0,False,Passed Inspection,Delivered
PO50007,TRK-81341050,Blue Dart Cargo,2023-02-14,7,5,False,0,False,Passed Inspection,Delivered
PO50008,TRK-34212681,Blue Dart Cargo,2025-08-23,2,15,True,13,False,Passed Inspection,Delivered
PO50009,TRK-78997345,DHL Express,2025-08-19,16,25,True,9,False,Passed Inspection,Delivered
PO50010,TRK-76130990,DB Schenker Logistics,2023-02-10,19,27,True,8,True,Major Defect - Rejected,Delivered
PO50011,TRK-23637236,DHL Express,2023-07-12,16,14,False,0,False,Passed Inspection,Delivered
PO50012,TRK-95331679,Blue Dart Cargo,2024-02-25,17,22,True,5,True,Major Defect - Rejected,Delivered
PO50013,TRK-71056005,Maersk Line,2024-08-13,22,35,True,13,False,Passed Inspection,Delivered
PO50014,TRK-53680314,Maersk Line,2025-03-22,13,17,True,4,False,Passed Inspection,Delivered
PO50015,TRK-24839503,Kuehne+Nagel,2024-04-30,22,21,False,0,False,Passed Inspection,Delivered
PO50016,TRK-34560073,Maersk Line,2024-12-06,37,36,False,0,False,Passed Inspection,Delivered
PO50017,TRK-89073517,Blue Dart Cargo,2023-01-28,19,16,False,0,True,Major Defect - Rejected,Delivered
PO50018,TRK-12986804,Maersk Line,2025-01-15,27,24,False,0,False,Passed Inspection,Delivered
PO50019,TRK-28554568,FedEx Supply Chain,2025-10-11,15,12,False,0,False,Passed Inspection,Delivered
PO50020,TRK-74136773,Kuehne+Nagel,2024-08-25,28,26,False,0,False,Passed Inspection,Delivered
PO50021,TRK-25358366,DB Schenker Logistics,2024-06-20,38,38,False,0,True,Minor Defect - Accepted,Delivered
PO50022,TRK-17253114,Kuehne+Nagel,2023-12-12,23,20,False,0,False,Passed Inspection,Delivered
