po_id,tracking_number,carrier,delivery_date,planned_lead_days,actual_lead_days,is_late,delay_days,has_defect,inspection_status,status
PO50000,TRK-77431124,DB Schenker Logistics,2024-03-26,17,15,False,0,False,Passed Inspection,Delivered
PO50001,TRK-85394210,Blue Dart Cargo,2023-06-09,15,12,False,0,False,Passed Inspection,Delivered
PO50002,TRK-94849867,Maersk Line,2024-03-11,28,28,False,0,False,Passed Inspection,Delivered
PO50003,TRK-96598807,FedEx Supply Chain,2024-05-02,3,5,True,2,False,Passed Inspection,Delivered
PO50004,TRK-57908079,FedEx Supply Chain,2023-01-12,12,9,False,0,False,Passed Inspection,Delivered
PO50005,TRK-42305167,Kuehne+Nagel,2025-10-20,30,46,True,16,False,Passed Inspection,Delivered
PO50006,TRK-79729612,DHL Express,2024-08-22,21,21,False,0,False,Passed Inspection,Delivered
PO50007,TRK-81341050,Blue Dart Cargo,2023-02-14,7,5,False,0,False,Passed Inspection,Delivered
PO50008,TRK-34212681,Blue Dart Cargo,2025-08-23,2,15,True,13,False,Passed Inspection,Delivered
PO50009,TRK-78997345,DHL Express,2025-08-29,26,35,True,9,False,Passed Inspection,Delivered
PO50010,TRK-76130990,DB Schenker Logistics,2023-02-10,19,27,True,8,True,Major Defect - Rejected,Delivered
PO50011,TRK-23637236,DHL Express,2023-07-12,16,14,False,0,False,Passed Inspection,Delivered
PO50012,TRK-95331679,Blue Dart Cargo,2024-02-07,7,4,False,0,False,Passed Inspection,Delivered
PO50013,TRK-33977865,DHL Express,2024-07-28,12,19,True,7,False,Passed Inspection,Delivered
PO50014,TRK-31644357,FedEx Supply Chain,2025-03-08,3,3,False,0,False,Passed Inspection,Delivered
PO50015,TRK-77532102,DHL Express,2024-04-28,22,19,False,0,False,Passed Inspection,Delivered
PO50016,TRK-66968634,Blue Dart Cargo,2024-11-26,27,26,False,0,False,Passed Inspection,Delivered
PO50017,TRK-93177241,DHL Express,2023-01-31,19,19,False,0,False,Passed Inspection,Delivered
PO50018,TRK-49159298,DHL Express,2025-02-06,27,46,True,19,False,Passed Inspection,Delivered
PO50019,TRK-58837338,FedEx Supply Chain,2025-10-22,25,23,False,0,False,Passed Inspection,Delivered
PO50020,TRK-55043443,Maersk Line,2024-09-03,38,35,False,0,False,Passed Inspection,Delivered
PO50021,TRK-85552376,DB Schenker Logistics,2024-06-28,38,46,True,8,False,Passed Inspection,Delivered
PO50022,TRK-62851678,Blue Dart Cargo,2024-01-04,23,43,True,20,False,Passed Inspection,Delivered
