product_id,warehouse,current_stock,reorder_level,avg_monthly_demand,months_of_cover
PRD2000,WH-Central (Nagpur),1970,839,3887.6,0.5
PRD2001,WH-East (Kolkata),1426,869,4275.2,0.3
PRD2002,WH-South (Chennai),340,462,4148.6,0.1
PRD2003,WH-East (Kolkata),564,865,4327.7,0.1
PRD2004,WH-Central (Nagpur),254,915,5059.9,0.1
PRD2005,WH-West (Mumbai),1119,447,4502.1,0.2
PRD2006,WH-East (Kolkata),1785,467,4807.2,0.4
PRD2007,WH-East (Kolkata),496,807,4682.1,0.1
PRD2008,WH-Central (Nagpur),623,364,4479.5,0.1
PRD2009,WH-South (Chennai),1422,104,3551.5,0.4
PRD2010,WH-South (Chennai),958,213,3989.0,0.2
PRD2011,WH-East (Kolkata),700,911,4157.3,0.2
PRD2012,WH-Central (Nagpur),574,933,3718.5,0.2
PRD2013,WH-West (Mumbai),1268,78,4389.9,0.3
PRD2014,WH-West (Mumbai),832,100,4143.8,0.2
PRD2015,WH-West (Mumbai),1300,201,4005.1,0.3
PRD2016,WH-South (Chennai),1188,225,4583.6,0.3
PRD2017,WH-South (Chennai),1617,992,4249.6,0.4
PRD2018,WH-West (Mumbai),552,305,3623.9,0.2
PRD2019,WH-East (Kolkata),366,186,3723.8,0.1
PRD2020,WH-East (Kolkata),205,431,4405.5,0.0
PRD2021,WH-South (Chennai),776,224,4472.2,0.2
PRD2022,WH-East (Kolkata),885,123,4565.6,0.2
PRD2023,WH-South (Chennai),1081,574,4591.1,0.2
PRD2024,WH-West (Mumbai),466,615,4429.8,0.1
PRD2025,WH-West (Mumbai),1072,575,4427.8,0.2
PRD2026,WH-East (Kolkata),1387,242,4105.3,0.3
PRD2027,WH-North (Delhi),37,84,3545.8,0.0
PRD2028,WH-North (Delhi),840,104,3944.6,0.2
PRD2029,WH-South (Chennai),1611,747,4450.4,0.4
PRD2030,WH-West (Mumbai),829,400,4109.5,0.2
PRD2031,WH-West (Mumbai),1813,195,4798.3,0.4
PRD2032,WH-North (Delhi),1392,937,5062.0,0.3
PRD2033,WH-North (Delhi),1326,735,4069.4,0.3
PRD2034,WH-East (Kolkata),1732,324,4463.8,0.4
PRD2035,WH-East (Kolkata),1216,92,3745.4,0.3
PRD2036,WH-Central (Nagpur),625,962,3654.1,0.2
PRD2037,WH-East (Kolkata),71,434,4266.7,0.0
PRD2038,WH-West (Mumbai),1068,674,4365.1,0.2
PRD2039,WH-Central (Nagpur),700,321,3963.5,0.2
PRD2040,WH-East (Kolkata),214,713,4292.2,0.0
PRD2041,WH-East (Kolkata),1715,601,3418.6,0.5
PRD2042,WH-North (Delhi),1557,111,3484.0,0.4
PRD2043,WH-Central (Nagpur),1964,228,4958.8,0.4
PRD2044,WH-West (Mumbai),1229,778,4976.5,0.2
PRD2045,WH-South (Chennai),1359,54,3932.7,0.3
PRD2046,WH-North (Delhi),846,417,4822.7,0.2
PRD2047,WH-West (Mumbai),169,575,4128.8,0.0
PRD2048,WH-South (Chennai),1713,595,4313.2,0.4
PRD2049,WH-West (Mumbai),1612,106,4114.2,0.4
PRD2050,WH-East (Kolkata),1426,313,4309.3,0.3
PRD2051,WH-Central (Nagpur),1146,610,3810.2,0.3
PRD2052,WH-East (Kolkata),423,537,4897.8,0.1
PRD2053,WH-East (Kolkata),179,236,4363.7,0.0
PRD2054,WH-East (Kolkata),1516,719,4232.5,0.4
PRD2055,WH-North (Delhi),810,715,4063.4,0.2
PRD2056,WH-West (Mumbai),1680,100,4111.6,0.4
PRD2057,WH-North (Delhi),4,758,3506.3,0.0
PRD2058,WH-North (Delhi),627,462,4152.0,0.2
PRD2059,WH-South (Chennai),907,580,3987.4,0.2
PRD2060,WH-East (Kolkata),115,217,4633.1,0.0
PRD2061,WH-East (Kolkata),351,486,3882.3,0.1
PRD2062,WH-North (Delhi),201,126,3948.2,0.1
PRD2063,WH-West (Mumbai),1216,880,3936.7,0.3
PRD2064,WH-East (Kolkata),941,260,4373.1,0.2
PRD2065,WH-South (Chennai),1744,863,3762.4,0.5
PRD2066,WH-North (Delhi),1788,366,3772.4,0.5
PRD2067,WH-West (Mumbai),856,619,4685.2,0.2
PRD2068,WH-West (Mumbai),1217,763,4132.7,0.3
PRD2069,WH-South (Chennai),1293,595,4448.9,0.3
PRD2070,WH-Central (Nagpur),1956,291,4463.9,0.4
PRD2071,WH-North (Delhi),130,288,4264.1,0.0
PRD2072,WH-North (Delhi),90,26,4169.2,0.0
PRD2073,WH-Central (Nagpur),1608,533,3612.6,0.4
PRD2074,WH-West (Mumbai),220,658,4110.7,0.1
PRD2075,WH-North (Delhi),252,892,3824.5,0.1
PRD2076,WH-South (Chennai),1656,883,3990.8,0.4
PRD2077,WH-South (Chennai),814,546,3529.9,0.2
PRD2078,WH-East (Kolkata),272,322,4468.8,0.1
PRD2079,WH-North (Delhi),481,502,3633.8,0.1
PRD2080,WH-South (Chennai),1926,885,4373.1,0.4
PRD2081,WH-East (Kolkata),408,738,5151.9,0.1
PRD2082,WH-North (Delhi),983,571,4296.0,0.2
PRD2083,WH-East (Kolkata),642,438,4217.3,0.2
PRD2084,WH-North (Delhi),1507,601,4101.0,0.4
PRD2085,WH-South (Chennai),16,874,4681.8,0.0
PRD2086,WH-North (Delhi),1192,343,3880.2,0.3
PRD2087,WH-West (Mumbai),1835,292,3972.1,0.5
PRD2088,WH-Central (Nagpur),852,138,4459.7,0.2
PRD2089,WH-Central (Nagpur),319,423,3860.4,0.1
PRD2090,WH-West (Mumbai),950,585,3913.0,0.2
PRD2091,WH-North (Delhi),1045,791,4741.9,0.2
PRD2092,WH-Central (Nagpur),1954,663,4493.9,0.4
PRD2093,WH-Central (Nagpur),361,990,3875.4,0.1
PRD2094,WH-West (Mumbai),1683,547,3953.2,0.4
PRD2095,WH-East (Kolkata),64,111,4872.8,0.0
PRD2096,WH-West (Mumbai),719,212,4726.4,0.2
PRD2097,WH-East (Kolkata),497,687,4505.7,0.1
PRD2098,WH-Central (Nagpur),390,748,4188.2,0.1
PRD2099,WH-West (Mumbai),68,841,4234.1,0.0
