product_id,warehouse,current_stock,reorder_level,avg_monthly_demand,months_of_cover
PRD2000,WH-Central (Nagpur),63,839,3883.1,0.0
PRD2001,WH-West (Mumbai),267,869,3986.9,0.1
PRD2002,WH-East (Kolkata),1977,462,4163.1,0.5
PRD2003,WH-South (Chennai),1625,865,4173.0,0.4
PRD2004,WH-North (Delhi),690,915,5193.5,0.1
PRD2005,WH-North (Delhi),1497,447,4100.0,0.4
PRD2006,WH-East (Kolkata),1132,467,4743.0,0.2
PRD2007,WH-South (Chennai),630,807,4385.6,0.1
PRD2008,WH-West (Mumbai),1266,364,4188.6,0.3
PRD2009,WH-Central (Nagpur),1064,104,3172.6,0.3
PRD2010,WH-North (Delhi),1679,213,3837.4,0.4
PRD2011,WH-East (Kolkata),1828,911,4294.1,0.4
PRD2012,WH-South (Chennai),1864,933,3800.4,0.5
PRD2013,WH-South (Chennai),717,78,4385.1,0.2
PRD2014,WH-Central (Nagpur),139,100,4225.9,0.0
PRD2015,WH-East (Kolkata),133,201,3663.9,0.0
PRD2016,WH-East (Kolkata),1688,225,4285.2,0.4
PRD2017,WH-South (Chennai),864,992,4186.7,0.2
PRD2018,WH-Central (Nagpur),272,305,3706.1,0.1
PRD2019,WH-East (Kolkata),556,186,3584.0,0.2
PRD2020,WH-North (Delhi),661,431,3817.1,0.2
PRD2021,WH-East (Kolkata),14,224,4328.6,0.0
PRD2022,WH-South (Chennai),282,123,4472.6,0.1
PRD2023,WH-North (Delhi),1605,574,4327.1,0.4
PRD2024,WH-West (Mumbai),1219,615,4047.5,0.3
PRD2025,WH-South (Chennai),1341,575,3630.6,0.4
PRD2026,WH-South (Chennai),625,242,4491.1,0.1
PRD2027,WH-North (Delhi),240,84,3331.2,0.1
PRD2028,WH-West (Mumbai),802,104,3533.4,0.2
PRD2029,WH-North (Delhi),773,747,4243.9,0.2
PRD2030,WH-East (Kolkata),90,400,4092.1,0.0
PRD2031,WH-West (Mumbai),1480,195,4668.1,0.3
PRD2032,WH-East (Kolkata),1874,937,4987.3,0.4
PRD2033,WH-South (Chennai),325,735,3957.3,0.1
PRD2034,WH-West (Mumbai),397,324,5178.6,0.1
PRD2035,WH-North (Delhi),59,92,3584.8,0.0
PRD2036,WH-South (Chennai),792,962,3474.5,0.2
PRD2037,WH-Central (Nagpur),454,434,4022.9,0.1
PRD2038,WH-Central (Nagpur),831,674,3783.3,0.2
PRD2039,WH-North (Delhi),1818,321,4056.8,0.4
PRD2040,WH-North (Delhi),397,713,4121.7,0.1
PRD2041,WH-West (Mumbai),1993,601,4017.4,0.5
PRD2042,WH-West (Mumbai),1511,111,3853.9,0.4
PRD2043,WH-East (Kolkata),1725,228,4589.2,0.4
PRD2044,WH-East (Kolkata),851,778,4851.7,0.2
PRD2045,WH-North (Delhi),1722,54,3831.6,0.4
PRD2046,WH-Central (Nagpur),1425,417,4659.4,0.3
PRD2047,WH-Central (Nagpur),1368,575,4642.5,0.3
PRD2048,WH-Central (Nagpur),1638,595,4795.0,0.3
PRD2049,WH-North (Delhi),1133,106,4233.2,0.3
PRD2050,WH-North (Delhi),221,313,4350.8,0.1
PRD2051,WH-South (Chennai),705,610,3761.2,0.2
PRD2052,WH-Central (Nagpur),1913,537,4813.1,0.4
PRD2053,WH-North (Delhi),171,236,4493.1,0.0
PRD2054,WH-West (Mumbai),276,719,3824.2,0.1
PRD2055,WH-South (Chennai),896,715,3651.7,0.2
PRD2056,WH-Central (Nagpur),792,100,4156.0,0.2
PRD2057,WH-Central (Nagpur),542,758,3946.6,0.1
PRD2058,WH-Central (Nagpur),1880,462,3916.7,0.5
PRD2059,WH-West (Mumbai),1713,580,4364.2,0.4
PRD2060,WH-South (Chennai),761,217,4546.9,0.2
PRD2061,WH-Central (Nagpur),1507,486,3826.8,0.4
PRD2062,WH-East (Kolkata),547,126,4034.2,0.1
PRD2063,WH-West (Mumbai),711,880,3468.6,0.2
PRD2064,WH-East (Kolkata),248,260,4295.6,0.1
PRD2065,WH-North (Delhi),794,863,3752.8,0.2
PRD2066,WH-Central (Nagpur),668,366,4021.9,0.2
PRD2067,WH-West (Mumbai),1325,619,4451.5,0.3
PRD2068,WH-Central (Nagpur),381,763,3819.8,0.1
PRD2069,WH-South (Chennai),522,595,4408.8,0.1
PRD2070,WH-Central (Nagpur),207,291,4393.4,0.0
PRD2071,WH-North (Delhi),72,288,4337.0,0.0
PRD2072,WH-Central (Nagpur),220,26,4436.9,0.0
PRD2073,WH-North (Delhi),260,533,3711.9,0.1
PRD2074,WH-South (Chennai),1205,658,4131.1,0.3
PRD2075,WH-North (Delhi),1793,892,3979.4,0.5
PRD2076,WH-West (Mumbai),1028,883,3958.9,0.3
PRD2077,WH-Central (Nagpur),607,546,3482.5,0.2
PRD2078,WH-North (Delhi),1528,322,4420.5,0.3
PRD2079,WH-South (Chennai),560,502,3647.4,0.2
PRD2080,WH-Central (Nagpur),1051,885,4819.1,0.2
PRD2081,WH-Central (Nagpur),248,738,5091.8,0.0
PRD2082,WH-North (Delhi),269,571,4315.1,0.1
PRD2083,WH-West (Mumbai),1327,438,4370.1,0.3
PRD2084,WH-North (Delhi),1387,601,3963.2,0.3
PRD2085,WH-West (Mumbai),1616,874,4642.0,0.3
PRD2086,WH-West (Mumbai),339,343,3834.5,0.1
PRD2087,WH-Central (Nagpur),502,292,4054.8,0.1
PRD2088,WH-East (Kolkata),1328,138,4878.8,0.3
PRD2089,WH-Central (Nagpur),1309,423,4120.2,0.3
PRD2090,WH-South (Chennai),1163,585,4257.1,0.3
PRD2091,WH-West (Mumbai),608,791,4627.8,0.1
PRD2092,WH-South (Chennai),34,663,4208.0,0.0
PRD2093,WH-North (Delhi),427,990,3837.9,0.1
PRD2094,WH-North (Delhi),834,547,4419.4,0.2
PRD2095,WH-South (Chennai),976,111,4510.4,0.2
PRD2096,WH-South (Chennai),403,212,4969.1,0.1
PRD2097,WH-North (Delhi),1685,687,4270.4,0.4
PRD2098,WH-East (Kolkata),1401,748,4297.9,0.3
PRD2099,WH-North (Delhi),579,841,4377.2,0.1
PRD2100,WH-West (Mumbai),30,215,4146.4,0.0
PRD2101,WH-North (Delhi),566,412,3979.8,0.1
PRD2102,WH-Central (Nagpur),97,619,3891.9,0.0
PRD2103,WH-North (Delhi),1003,723,3693.2,0.3
PRD2104,WH-East (Kolkata),694,964,4342.6,0.2
PRD2105,WH-South (Chennai),1989,929,4465.6,0.4
PRD2106,WH-East (Kolkata),484,68,4164.7,0.1
PRD2107,WH-Central (Nagpur),654,757,4804.4,0.1
PRD2108,WH-North (Delhi),693,295,4499.5,0.2
PRD2109,WH-East (Kolkata),122,543,3458.9,0.0
PRD2110,WH-East (Kolkata),403,331,4297.7,0.1
PRD2111,WH-West (Mumbai),1716,878,4713.1,0.4
PRD2112,WH-North (Delhi),1641,447,3763.0,0.4
PRD2113,WH-West (Mumbai),885,130,4157.5,0.2
PRD2114,WH-North (Delhi),1366,852,3337.3,0.4
PRD2115,WH-North (Delhi),485,390,3623.0,0.1
PRD2116,WH-West (Mumbai),1591,146,4062.4,0.4
PRD2117,WH-Central (Nagpur),1608,585,3846.9,0.4
PRD2118,WH-West (Mumbai),1282,456,4115.0,0.3
PRD2119,WH-Central (Nagpur),297,328,4177.9,0.1
PRD2120,WH-South (Chennai),1200,498,4434.9,0.3
PRD2121,WH-East (Kolkata),1597,867,3964.2,0.4
PRD2122,WH-East (Kolkata),105,514,4307.7,0.0
PRD2123,WH-North (Delhi),581,181,4268.1,0.1
PRD2124,WH-Central (Nagpur),1440,658,4060.4,0.4
PRD2125,WH-South (Chennai),421,540,3975.1,0.1
PRD2126,WH-Central (Nagpur),907,31,4034.2,0.2
PRD2127,WH-North (Delhi),584,777,4481.6,0.1
